Speaker Name,Speaker Title,Speaker Company,Company Category,Email Subject,Email Body
Dr. Nana Yaa Nsiah-Appiah,Researcher,"Loughborough University’s School of Architecture, Building and Civil Engineering.",Builder,Join Us for a Live Demo at Booth #42,"Dear Dr. Nsiah-Appiah,

I hope this message finds you well. We would like to invite you to visit our booth #42 for a live demo of DroneDeploy’s innovative drone mapping solutions tailored for the construction industry. We also have a small gift for you as a token of appreciation for your work in architecture and civil engineering.

Looking forward to seeing you there.

Best regards,
[Your Name]
[Your Position]
DroneDeploy"
Rob Fox,CEO & Founder,Supplyo,Other,Join Us for a Live Demo at Booth #42,"Hi Rob,

As the CEO of Supplyo, I believe you would appreciate the innovative capabilities of DroneDeploy in enhancing construction workflows. We’d love for you to visit us at booth #42 for a live demo and a small gift. It could be a great opportunity to explore how our solutions align with your vision.

Looking forward to seeing you there."
Kathryn Dreitzler,"Director of Innovation, VDC",ARCO Construction,Builder,Join Us for a Live Demo at Booth #42,"Hi Kathryn, 

As the Director of Innovation at ARCO Construction, I thought you might find our live drone mapping demo valuable. We’d love to show you how DroneDeploy can enhance your VDC processes. Please visit us at booth #42 for a quick demo and a small gift. 

Looking forward to seeing you there, 

[Your Name] 
[Your Position] 
DroneDeploy"
Tomas​​​​ Hollingsworth,Director of Technology,BW: Workplace Experts,Other,Join Us for a Live Demo at Booth #42,"Hi Tomas,

As the Director of Technology at BW: Workplace Experts, we believe you’d find our drone mapping solutions particularly relevant. We’d love to invite you to visit Booth #42 for a live demo and a small gift. It’s a great opportunity to see how our technology can enhance your projects.

Looking forward to connecting,

[Your Name]  
[Your Title]  
DroneDeploy"
Tom Simkins,Solution Architect,IFS,Other,Join Us for a Live Demo at Booth #42,"Hi Tom,

I hope this message finds you well. As a Solution Architect at IFS, your insights into technology integration are invaluable, and we’d love to invite you to our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We also have a small gift for you as a token of appreciation.

Looking forward to seeing you there.

Best,
[Your Name]  
[Your Position]  
DroneDeploy"
Alex Plenty,Head of Digital Construction,Skanska,Builder,Join Us at Booth #42 for a Live Demo,"Hi Alex,

As Head of Digital Construction at Skanska, I believe you’ll find our drone mapping solutions valuable. We’d love for you to visit us at Booth #42 for a live demo and a small gift. It would be great to connect and show you how we can enhance your projects.

Best,
[Your Name]
DroneDeploy"
Rob Norton,UK Director,PlanRadar,Other,Join Us at Booth #42 for a Live Demo,"Hi Rob, 

As the UK Director at PlanRadar, I believe you’ll find our drone mapping solutions valuable for enhancing project efficiency. We’d love for you to visit us at Booth #42 for a live demo and to pick up a small gift. 

Looking forward to seeing you there, 

[Your Name] 
[Your Position] 
DroneDeploy"
Trevor Steven,CEO,Mindflow,Other,Invitation to Experience DroneDeploy at Booth #42,"Hi Trevor, 

As the CEO of Mindflow, your insights into innovation are inspiring. We invite you to visit our booth #42 for a live demo of DroneDeploy’s cutting-edge drone mapping technology, along with a small gift for stopping by. 

Looking forward to connecting, 

Best, 
[Your Name] 
[Your Title] 
DroneDeploy"
Katja Ogris,Project Manager,KobiLabs,Other,Join Us at Booth #42 for a Live Demo,"Hi Katja,

As a Project Manager at KobiLabs, I believe you'll find our drone mapping solutions particularly relevant to your work. I’d like to invite you to visit our booth #42 for a live demo and a small gift. It would be great to showcase how DroneDeploy can enhance your projects.

Looking forward to seeing you there.

Best,
[Your Name]  
[Your Position]  
DroneDeploy"
Ed Lambourn,Major Programmes Associate Director,Deloitte MCS,Other,Explore DroneDeploy at Booth #42,"Hi Ed,

As a Major Programmes Associate Director at Deloitte MCS, I believe you'll find our drone mapping solutions valuable for your projects. I’d like to invite you to visit our booth #42 for a live demo and a small gift. It would be great to connect and show you how we can enhance your workflows.

Best regards,
[Your Name]  
DroneDeploy Team"
Alex Small,Digital Platforms & Innovation Lead,Tata Steel Europe,Other,Join Us for a Live Demo at Booth #42,"Hi Alex,

As the Digital Platforms & Innovation Lead at Tata Steel Europe, I think you’ll find our drone mapping solutions transformative for construction projects. We’d love for you to visit our booth #42 for a live demo and to pick up a small gift. Looking forward to seeing you there.

Best regards,

[Your Name]  
DroneDeploy Team"
Ed Riby,Real Estate Director,JLL,Owner,Join Us at Booth #42 for a Live Demo,"Hi Ed, 

I hope this message finds you well. As the Real Estate Director at JLL, I believe you'll find our drone mapping solutions particularly relevant. We’d love to invite you to visit our booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Dr. Nikos Papapesios,Head of Innovation Analytics,Knight Frank,Other,Join Us for a Live Demo at Booth #42,"Hi Dr. Papapesios, 

I hope this message finds you well. As the Head of Innovation Analytics at Knight Frank, your insights into technology in real estate are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest innovations in drone mapping and reality capture, along with a small gift. 

Looking forward to seeing you there."
Ali Nader Saad,PhD Researcher,University of Salford,Owner,Join Us for a Live Demo at Booth #42,"Hi Ali, 

As a PhD Researcher at the University of Salford, your insights into drone technology are invaluable. We’d love to invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift as a token of appreciation. 

Looking forward to seeing you there."
Trudy Betts,Head of IT Business Change,McLaren Construction,Builder,Join Us at Booth #42 for a Live Demo,"Hi Trudy, 

As the Head of IT Business Change at McLaren Construction, you understand the importance of innovative technology in streamlining processes. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there."
Kenny Ingram,VP for Construction & Engineering,IFS,Builder,Invitation to Experience DroneDeploy at Booth #42,"Hi Kenny,

As VP for Construction & Engineering at IFS, you understand the power of innovative technology in your field. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s capabilities and to pick up a small gift. Looking forward to seeing you there.

Best,
[Your Name]  
DroneDeploy Team"
Robert Cuijpers,Architect,"Powerhouse Company, NL",Other,Join Us for a Live Demo at Booth #42,"Hi Robert, 

As an architect at Powerhouse Company, we believe you would find our drone mapping and reality capture solutions valuable for your projects. We’d love for you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Umesh Bhutoria,Founder & CEO,Xempla,Other,Experience DroneDeploy at Booth #42,"Hi Umesh,  
As the Founder & CEO of Xempla, your insights into innovation are inspiring. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture. We also have a small gift for you. Looking forward to seeing you there."
Rob Stephen,"Vice President – Sales and Operations, EMEA",Newforma,Other,Discover DroneDeploy at Booth #42,"Hi Rob, 

As the VP of Sales and Operations at Newforma, I thought you might find our drone mapping solutions particularly relevant. We’d love for you to visit Booth #42 for a live demo of our latest technology and a small gift. Looking forward to connecting with you.

Best, 
[Your Name]  
DroneDeploy"
Alexandra Hussenot,Chief Revenue Officer,Igloo Vision,Other,Join Us at Booth #42 for a Live Demo,"Hi Alexandra,

As the Chief Revenue Officer at Igloo Vision, you understand the importance of innovative technology in construction. We would love to invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities, along with a small gift. It would be a pleasure to connect and share insights.

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
"Alison Watson, MBE",Founder and CEO,Class of Your Own,Other,Invitation to Visit Us at Booth #42,"Hi Alison,

As the Founder and CEO of Class of Your Own, your insights on education in construction are invaluable. We’d love for you to stop by Booth #42 at the upcoming event for a live demo of our drone mapping solutions and to pick up a small gift. Looking forward to the opportunity to connect.

Best regards,

[Your Name]
[Your Position]
DroneDeploy"
Kushal Chandarana,Senior Managing Technical Consultant,IBM,Other,Join Us at Booth #42 for a Live Demo,"Hi Kushal,

As a Senior Managing Technical Consultant at IBM, we'd love for you to visit our booth #42 at the upcoming event. We’ll be showcasing our latest drone mapping technology and would appreciate the opportunity to demonstrate its capabilities. Plus, we have a small gift for you as a thank you for stopping by.

Looking forward to seeing you there."
Elektra Politis,Health and Safety Advisor,Laing O'Rouke,Other,Join Us at Booth #42 for a Live Demo,"Hi Elektra,

I hope this message finds you well. As a Health and Safety Advisor at Laing O'Rouke, you understand the importance of safety in construction. We'd love for you to visit our booth #42 for a live demo of our drone mapping solutions, tailored to enhance safety and efficiency on-site. We have a small gift for you as a token of appreciation for stopping by.

Looking forward to seeing you there."
Urszula Kanturska,Technical Director Digital,Mott Macdonald,Other,Join Us for a Live Demo at Booth #42,"Hi Urszula,

As the Technical Director Digital at Mott Macdonald, your insights into innovative technology are invaluable. We would love for you to visit our booth #42 for a live demo of DroneDeploy’s mapping solutions, along with a small gift as a token of our appreciation.

Looking forward to seeing you there."
Rohit Auluck,Industry Strategy Manager,Autodesk,Other,Join Us at Booth #42 for a Live Demo,"Hi Rohit,

I hope this message finds you well. As the Industry Strategy Manager at Autodesk, your insights into construction technology are invaluable. We’d love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy's capabilities and to pick up a small gift. 

Looking forward to connecting,

[Your Name]  
[Your Position]  
DroneDeploy"
Roisin Vance,Senior Digital Construction Manager,Kier Construction,Builder,Explore DroneDeploy at Booth #42,"Hi Roisin,

As Senior Digital Construction Manager at Kier Construction, I believe you would find our drone mapping solutions particularly beneficial. We invite you to visit our booth #42 for a live demo and to receive a small gift. Looking forward to seeing you there.

Best,
[Your Name]  
DroneDeploy Team"
Vaisakh Krishnadas,Snr Digital Construction Manager,Sir Robert McAlpine,Builder,Join Us for a Live Demo at Booth #42,"Hi Vaisakh,

I hope this message finds you well. As the Snr Digital Construction Manager at Sir Robert McAlpine, you might find our drone mapping solutions valuable. We’d love for you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Lee Morris,Solibri,,Other,Join Us at Booth #42 for a Live Demo,"Hi Lee,

I hope this message finds you well. We’d love to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture for construction. We’ll also have a small gift for you as a token of our appreciation.

Looking forward to seeing you there."
Allister Lewis,CEO & Founder,ADDD,Other,Join Us at Booth #42 for a Live Demo,"Hi Allister, 

As the CEO of ADDD, your insights into innovative technology are invaluable. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We’ll also have a small gift for you as a token of appreciation. 

Looking forward to seeing you there!"
Ellen Willis,Thrive Sustainability Consultant,Chetwoods,Other,Visit Us at Booth #42 for a Live Demo,"Hi Ellen, 

As a Thrive Sustainability Consultant at Chetwoods, you understand the importance of innovative solutions in construction. We invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities and to receive a small gift. We look forward to showcasing how our technology can enhance your projects.

Best, 
[Your Name] 
DroneDeploy"
Lewis Wenman,Lead BIM Manager,Bouygues,Other,Explore DroneDeploy at Booth #42,"Hi Lewis,

As Lead BIM Manager at Bouygues, your insights on technology in construction are invaluable. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities and to pick up a small gift. Looking forward to connecting!

Best,
[Your Name]  
[Your Position]  
DroneDeploy"
Amir Berman,VP of Industry Transformation,Buildots,Builder,Invitation to Experience DroneDeploy at Booth #42,"Hi Amir, 

As the VP of Industry Transformation at Buildots, we believe you would appreciate the innovative capabilities we showcase at DroneDeploy. We invite you to visit us at Booth #42 for a live demo of our drone mapping solutions tailored for construction, along with a small gift as a token of our appreciation. 

Looking forward to seeing you there."
Elizabeth Bishop,Programme Director,University of Nottingham,Owner,Join Us for a Live Demo at Booth #42,"Hi Elizabeth,

I hope this message finds you well. As the Programme Director at the University of Nottingham, you might find our drone mapping solutions particularly relevant for your projects. I’d like to invite you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Roman Baran,Construction Digital Manager,Canary Wharf Group,Builder,Join Us at Booth #42 for a Live Demo,"Hi Roman, 

As the Construction Digital Manager at Canary Wharf Group, you understand the importance of innovative solutions in project management. We would love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We also have a small gift for you. 

Looking forward to seeing you there."
Elliott Poulter,SMB Business Lead for Business Applications,Microsoft,Other,Join Us at Booth #42 for a Live Demo,"Hi Elliott,

As the SMB Business Lead for Business Applications at Microsoft, we'd love to invite you to visit our booth #42 at the upcoming event. We’ll be showcasing our latest drone mapping and reality capture solutions tailored for construction, along with a small gift for stopping by.

Looking forward to seeing you there!"
Liam McEvoy,Co-Founder & Director,SustainIQ,Other,Join Us at Booth #42 for a Live Demo,"Hi Liam,

I hope this message finds you well. As the Co-Founder & Director of SustainIQ, I believe you would find great value in our live demo at Booth #42. We’d love to showcase how DroneDeploy can enhance your projects, plus we have a small gift for you.

Looking forward to seeing you there!"
Ronen Vengosh,"Senior Vice President, Industry Practices & Solutions",Egnyte,Other,Join Us for a Live Demo at Booth #42,"Hi Ronen,

As the Senior VP of Industry Practices & Solutions at Egnyte, your insights into industry needs are invaluable. We’d love to invite you to our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture tailored for construction. We’ll also have a small gift for you to take home.

Looking forward to seeing you there."
Vasileios Maligkos,Head of Digital Construction,CJ O'Shea,Builder,Join Us at Booth #42 for a Live Demo,"Hi Vasileios,

As the Head of Digital Construction at CJ O'Shea, we believe you'd find our drone mapping solutions particularly relevant. We’d love to invite you to visit our booth #42 for a live demo of our latest technology, plus a small gift as a token of appreciation. Looking forward to seeing you there.

Best,
[Your Name] 
DroneDeploy"
Lilian Ho,Program Director,ZIGURAT Institute of Technology,Other,Join Us for a Live Demo at Booth #42,"Hi Lilian,

As Program Director at ZIGURAT Institute of Technology, your insights into the evolving tech landscape are invaluable. We would love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We’ll also have a small gift for you as a token of appreciation.

Looking forward to seeing you there."
Ana Matic,Director of Digital Development,Scott Brownrigg,Other,Invitation to Booth #42 for a Live Demo,"Hi Ana, I hope this message finds you well. As the Director of Digital Development at Scott Brownrigg, I believe you'd find our live demo at Booth #42 particularly insightful. We’d love to showcase how DroneDeploy can enhance your projects, and we have a small gift for you as a token of appreciation. Looking forward to seeing you there."
Ellys Dobson,Assistant Digital Construction Coordinator,Kier Construction,Builder,Join Us at Booth #42 for a Live Demo,"Hi Ellys,  
We'd love to invite you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy's latest capabilities in drone mapping and reality capture tailored for construction. As an Assistant Digital Construction Coordinator at Kier Construction, we believe you'll find our solutions valuable. Plus, we have a small gift for you.  
Looking forward to seeing you there."
Veronica Friuli,Principal Consultant,Turner & Townsend,Other,Join Us for a Live Demo at Booth #42,"Hi Veronica, 

As a Principal Consultant at Turner & Townsend, your insights into construction technology are invaluable. We would love to invite you to Booth #42 for a live demo of DroneDeploy’s latest features, along with a small gift as a token of appreciation for your visit. 

Looking forward to seeing you there."
Anand Mecheri,CEO,Twinit,Other,Join Us at Booth #42 for a Live Demo,"Hi Anand, 

I hope this message finds you well. As the CEO of Twinit, your insights in the construction sector are invaluable. We would love for you to visit our booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there.

Best, 
[Your Name] 
[Your Position] 
DroneDeploy"
Emanuel Groh,Co-Founder,Specter Automation,Other,Join Us for a Live Demo at Booth #42,"Hi Emanuel,

I hope this message finds you well. As the Co-Founder of Specter Automation, you understand the value of innovative technology in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's latest features and to pick up a small gift as a token of our appreciation.

Looking forward to seeing you there."
Andrea Charlson,Managing Director,Madaster,Other,Join Us at Booth #42 for a Live Demo,"Hi Andrea, 

As Managing Director at Madaster, your insights on sustainable construction are invaluable. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's latest capabilities and to pick up a small gift. Looking forward to connecting with you there.

Best, 
[Your Name] 
[Your Position] 
DroneDeploy"
Emer Murnaghan,Innovation Director,GRAHAM Civil Engineering,Builder,Join Us for a Live Demo at Booth #42,"Hi Emer,

As the Innovation Director at GRAHAM Civil Engineering, we believe you'd find great value in our drone mapping and reality capture solutions. We’d love to invite you to our booth #42 for a live demo, where you can see our technology in action and receive a small gift. Looking forward to the opportunity to connect.

Best,
[Your Name]  
DroneDeploy Team"
Vicki Reynolds,Technical Director – Digital Estates,One Creative Environments,Owner,Discover DroneDeploy at Booth #42,"Hi Vicki,

As the Technical Director at One Creative Environments, I believe you'll find our drone mapping solutions incredibly relevant. We’d love for you to visit us at Booth #42 for a live demo of our latest features, plus a small gift as a token of appreciation. Looking forward to seeing you there.

Best,
[Your Name] 
DroneDeploy"
Sagal Rooble,Digital Strategy Coordinator,Chetwoods,Other,Join Us at Booth #42 for a Live Demo,"Hi Sagal,

I hope this message finds you well. As the Digital Strategy Coordinator at Chetwoods, I believe you’ll find our drone mapping and reality capture solutions quite relevant. We’d love to invite you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there.

Best,
[Your Name]"
Lloyd Reed,Geospatial Senior Associate,Ridge and Partners,Other,Join Us at Booth #42 for a Live Demo,"Hi Lloyd, 

I hope this message finds you well. As a Geospatial Senior Associate at Ridge and Partners, your insights into mapping technologies are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy and a small gift as a token of our appreciation. 

Looking forward to seeing you there."
Rumen Dimov,Head of Digital Transformation,Cityscape Digital,Other,Explore DroneDeploy at Booth #42,"Hi Rumen,

As the Head of Digital Transformation at Cityscape Digital, we believe you would find our drone mapping solutions particularly relevant. We invite you to visit our booth #42 for a live demo and to pick up a small gift. Looking forward to connecting.

Best, 
[Your Name] 
DroneDeploy"
Andrew Cavey,Chief Commercial Officer,Xperience,Other,Invitation to Booth #42 for a Live Demo,"Hi Andrew,

As the Chief Commercial Officer at Xperience, I thought you might find our innovative drone mapping solutions valuable. We’d love to invite you to visit us at Booth #42 for a live demo and a small gift. It would be great to connect and show you how we can help enhance your projects.

Best,
[Your Name]  
DroneDeploy"
Vicky Davenport,"Executive Vice President, EMEA",GRAITEC,Other,Join Us at Booth #42 for a Live DroneDeploy Demo,"Hi Vicky,  
As the Executive Vice President at GRAITEC, I believe you’ll appreciate the innovative capabilities of DroneDeploy for construction projects. We invite you to visit our booth #42 for a live demo and to receive a small gift. I look forward to seeing you there and discussing how we can enhance your workflows."
Emma Hooper,Head of Information Management Strategy (RLB Digital) Vice chair (nima and buildingSMART UK&I),"RLB Digital, nima, & buildingSMART UK&I",Builder,Join Us for a Live Demo at Booth #42,"Hi Emma,  
I hope this message finds you well. We'd love to invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture. As the Head of Information Management Strategy at RLB Digital, your insights would be invaluable, and we have a small gift for you as a token of appreciation.  
Looking forward to seeing you there."
Vitalij Tetervov,Founder,yBIM,Other,Join Us at Booth #42 for a Live Demo,"Hi Vitalij, 

As the founder of yBIM, we know you understand the importance of innovative solutions in construction. We invite you to visit our booth #42 for a live demo of DroneDeploy’s mapping and reality capture technology, along with a small gift as a token of appreciation. 

Looking forward to seeing you there."
Andrew De Silva “Das”,Director & Architect,David Miller Architects,Other,Join Us for a Live Demo at Booth #42,"Hi Das,

I hope this message finds you well. As the Director and Architect at David Miller Architects, I believe you would appreciate our innovative drone mapping solutions. We invite you to visit us at booth #42 for a live demo and a small gift. We’d love to show you how our technology can enhance your projects.

Best regards,
[Your Name]  
DroneDeploy Team"
Sam Pickering,Executive Director,The Instant Group,Other,Let's connect at DCW,"```json
{
  ""subject"": ""Discover DroneDeploy at Booth #42"",
  ""body"": ""Hi Sam, \n\nI hope this message finds you well. As the Executive Director at The Instant Group, your insights into innovative solutions are invaluable. We would love to invite you to visit our booth #42 for a live demo showcasing how DroneDeploy can enhance your projects, along with a small gift. \n\nLooking forward to welcoming you."",
}
```"
Lorna Killick,Head of Business Transformation,BW: Workplace Experts,Other,Join Us at Booth #42 for a Live Demo,"Hi Lorna,

As the Head of Business Transformation at BW: Workplace Experts, we believe you would appreciate our innovative solutions in drone mapping and reality capture. We’d love for you to visit us at Booth #42 for a live demo and a small gift. Looking forward to connecting with you.

Best,
[Your Name] 
DroneDeploy Team"
Lucas Cusack,Strategic Lead for Asset Management,Glider,Other,Join Us for a Live Demo at Booth #42,"Hi Lucas,

As the Strategic Lead for Asset Management at Glider, you'd appreciate how DroneDeploy enhances project efficiency. We’d love to invite you to visit our booth #42 for a live demo of our latest features and a small gift. Looking forward to connecting and sharing insights.

Best,
[Your Name]"
Will Townsend,Senior Sustainability Manager,Sir Robert McAlpine,Other,Explore Innovative Mapping Solutions at Booth #42,"Hi Will,

As the Senior Sustainability Manager at Sir Robert McAlpine, your focus on sustainable practices aligns well with our drone mapping solutions. We’d love to invite you to visit our booth #42 for a live demo of our technology and a small gift. Looking forward to the opportunity to connect.

Best regards,
[Your Name]  
DroneDeploy"
Andrew Germain,Associate Technical Director (BIM Manager),Arcadis,Other,Discover DroneDeploy at Booth #42,"Hi Andrew,

As an Associate Technical Director at Arcadis, I believe you’ll find our drone mapping solutions particularly relevant. We’d love to invite you to visit us at Booth #42 for a live demo and a small gift. It would be great to show you how our technology can enhance your BIM projects.

Looking forward to seeing you there."
Emma Mulqueeny OBE,Head of ESG,Causeway Technologies,Other,Join Us at Booth #42 for a Live Demo,"Hi Emma,

As the Head of ESG at Causeway Technologies, your insights on sustainability in construction are invaluable. We’d love to invite you to visit our booth #42 for a live demo of our drone mapping and reality capture solutions. We also have a small gift for you as a token of appreciation for your work in the industry.

Looking forward to connecting,  
[Your Name]  
DroneDeploy"
Emma Wei,Digital Consultant,Mott MacDonald,Other,Discover DroneDeploy at Booth #42,"Hi Emma,

As a Digital Consultant at Mott MacDonald, we believe you would find our drone mapping solutions invaluable in enhancing project efficiency. We invite you to visit us at Booth #42 for a live demo and to receive a small gift. We look forward to showcasing how our technology can support your initiatives.

Best, 
[Your Name]"
William Baker-Jones,Digital construction lead,"Kier Natural Resources, Nuclear & Networks",Builder,Join Us at Booth #42 for a Live Demo,"Hi William,

As the Digital Construction Lead at Kier Natural Resources, we believe you would find our drone mapping solutions particularly valuable. We would love to invite you to visit our booth #42 for a live demo and a small gift. It would be a great opportunity to explore how our technology can enhance your projects.

Looking forward to seeing you there."
Samantha Downie,Managing Director,Mates in Mind,Other,Join Us for a Live Demo at Booth #42,"Hi Samantha,

I hope this message finds you well. As the Managing Director at Mates in Mind, we believe you would find our drone mapping solutions valuable. We invite you to visit us at Booth #42 for a live demo and to pick up a small gift. 

Looking forward to seeing you there."
Sam Norledge,Head of Smart Buildings,LMG,Builder,Join Us at Booth #42 for a Live Demo,"Hi Sam, 

As the Head of Smart Buildings at LMG, I believe you’d find our live demo at Booth #42 particularly insightful. We’ll be showcasing how DroneDeploy enhances construction workflows, plus we have a small gift for you. I hope to see you there. 

Best, 
[Your Name]"
Lukas Olbrich,Co-Founder & CEO,Sablono,Other,Join Us at Booth #42 for a Live Demo,"Hi Lukas, 

I’m reaching out to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features in drone mapping and reality capture. We’d love to show you how our solutions can enhance project efficiency at Sablono. Plus, we have a small gift waiting for you. 

Looking forward to connecting, 

[Your Name] 
[Your Position] 
DroneDeploy"
Andrew Newman,Principle Data Specialist,The Open Data Institute,Other,Discover DroneDeploy at Booth #42,"Hi Andrew, 

As a Principal Data Specialist at The Open Data Institute, you understand the value of accurate data capture in construction. We’d love to invite you to booth #42 for a live demo of our drone mapping solutions and to share a small gift with you. Looking forward to seeing you there.

Best, 
[Your Name]"
Estefania Alves,Digital Lead,Laing O'Rourke,Other,Invitation to Visit DroneDeploy at Booth #42,"Hi Estefania,

I hope this message finds you well. As Digital Lead at Laing O'Rourke, I believe you would find great value in our live demo at Booth #42, showcasing how DroneDeploy can enhance your construction projects. We also have a small gift for you to take home. 

Looking forward to the opportunity to connect.

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
Willow Williams,Global Education Lead,Women in BIM,Other,Join Us for a Live Demo at Booth #42,"Hi Willow,

I hope this message finds you well. As the Global Education Lead at Women in BIM, your insights into the industry are invaluable. We’d love for you to visit Booth #42 for a live demo of our drone mapping solutions and to pick up a small gift. 

Looking forward to connecting,

[Your Name]  
[Your Position]  
DroneDeploy"
Esther Sullivan,Senior BIM Coordinator,Arcadis,Other,Join Us for a Live Demo at Booth #42,"Hi Esther,

I hope this message finds you well. As a Senior BIM Coordinator at Arcadis, I believe you'd find our drone mapping solutions valuable. We invite you to visit Booth #42 for a live demo and to pick up a small gift. 

Looking forward to seeing you there."
Samuel Almond,Digital Construction Manager,Kier Construction,Builder,Join Us at Booth #42 for a Live Demo,"Hi Samuel,

As the Digital Construction Manager at Kier Construction, we believe you'll find our drone mapping and reality capture solutions valuable. We’d love to invite you to visit our booth #42 for a live demo and to receive a small gift. Looking forward to connecting with you.

Best regards,
[Your Name] 
DroneDeploy"
Luke Holbrook,Chief Operating Officer,Enable My Team,Other,Join Us at Booth #42 for a Live Demo,"Hi Luke,

I hope this message finds you well. As COO at Enable My Team, your insights into operational efficiency are invaluable. We’d love for you to visit us at Booth #42 for a live demo of our drone mapping solutions tailored for construction, along with a small gift as a token of appreciation. 

Looking forward to connecting,

[Your Name]  
[Your Position]  
DroneDeploy"
Andrew Norrie,Head of Business Development,Elecosoft,Other,Invitation to Experience DroneDeploy at Booth #42,"Hi Andrew,

As the Head of Business Development at Elecosoft, we believe you would find our live demo at Booth #42 particularly insightful for your projects. We'd love to show you how DroneDeploy can enhance your construction processes. Please stop by for a demonstration and a small gift as a token of our appreciation.

Looking forward to seeing you there."
Andrew Victory,Global Digital Transformation Leader,Arcadis,Other,Join Us at Booth #42 for a Live Demo,"Hi Andrew,

As a Global Digital Transformation Leader at Arcadis, we believe you’d find our drone mapping solutions insightful. We’d love to invite you to visit our booth #42 for a live demo and a small gift. Looking forward to connecting with you there.

Best,
[Your Name]
DroneDeploy"
Yara Badawy,Junior Consultant – Real Estate Digital,Turner & Townsend,Owner,Experience DroneDeploy at Booth #42,"Hi Yara, 

As a Junior Consultant in Real Estate Digital at Turner & Townsend, I thought you might be interested in how DroneDeploy can enhance your projects. We’d love to show you a live demo at our booth #42 and share a small gift with you. 

Looking forward to seeing you there."
Andrew Waring,Digital Director,Digital Guerrilla,Other,Experience DroneDeploy at Booth #42,"Hi Andrew, 

As the Digital Director at Digital Guerrilla, you understand the value of innovative technology in construction. I’d like to invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities, along with a small gift. I believe it could complement your work in digital transformation.

Looking forward to seeing you there."
Eve Bellers,Sustainability Manager,Grosvenor,Other,Join Us for a Live Demo at Booth #42,"Hi Eve, 

As the Sustainability Manager at Grosvenor, you understand the importance of innovative solutions in construction. We’d love for you to visit our booth #42 to see a live demo of DroneDeploy’s mapping technology and how it can enhance sustainable practices. We’ll also have a small gift for you. 

Looking forward to connecting, 
[Your Name]"
Fergus Harradence,Deputy Director Infrastructure and Construction,Department for Business and Trade,Builder,Invitation to Experience DroneDeploy at Booth #42,"Hi Fergus,

As the Deputy Director for Infrastructure and Construction at the Department for Business and Trade, we believe you'll find our drone mapping solutions particularly relevant. We’d love to invite you to visit our booth #42 for a live demo and a small gift.

Looking forward to seeing you there."
Mairead Morgan Gallagher,BIM Lead (Europe & Middle East),Grimshaw,Other,Join Us for a Live DroneDeploy Demo at Booth #42,"Hi Mairead, 

I hope this message finds you well. As the BIM Lead at Grimshaw, your insights on integrating technology in construction are invaluable. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there."
Sandy Powell,Learning & Development Technical Manager,Murphy Geospatial,Other,Join Us for a Live Demo at Booth #42,"Hi Sandy,

I hope this message finds you well. As the Learning & Development Technical Manager at Murphy Geospatial, you understand the importance of innovative tools in our industry. We invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities and to receive a small gift. 

Looking forward to seeing you there."
